Rank,Name,Net Worth,Age,Source,Country of Citizenship
1394,David McMurtry,1.7 ,78,manufacturing,United Kingdom
1394,Gary Michelson,1.7 ,69,medical patents,United States
1394,Massimo Moratti,1.7 ,73,oil refinery,Italy
1394,Farhad Moshiri,1.7 ,63,diversified,United Kingdom
1394,Jerry Moyes,1.7 ,74,Transportation,United States
1394,Charles Munger,1.7 ,94,Berkshire Hathaway,United States
1394,Kerr Neilson,1.7 ,68,investment,Australia
1394,Ou Zongrong,1.7 ,54,real estate,China
1394,Nihat Ozdemir,1.7 ,68,diversified,Turkey
1394,Pan Weiming,1.7 ,54,real estate,China
1394,Park Yeon-Cha,1.7 ,72,sneakers,South Korea
1394,Nelson Peltz,1.7 ,76,investments,United States
1394,Roger Penske,1.7 ,81,cars,United States
1394,Qi Jinxing,1.7 ,56,real estate,China
1394,Qi Shi,1.7 ,48,financial information,China
1394,Theodore Rachmat,1.7 ,74,diversified,Indonesia
1394,Juan Maria Riberas Mera,1.7 ,49,steel,Spain
1394,Vijay Shekhar Sharma,1.7 ,40,financial technology,India
1394,Konstantin Strukov,1.7 ,59,"gold, coal mining",Russia
1394,Henry Swieca,1.7 ,61,hedge funds,United States
1394,Wichai Thongtang,1.7 ,71,investments,Thailand
1394,Torsten Toeller,1.7 ,52,pet food,Germany
1394,Roman Trotsenko,1.7 ,47,"transport, engineering, real estate",Russia
1394,Todd Wagner,1.7 ,57,online media,United States
1394,Wang Chaobin,1.7 ,62,real estate,China
1394,Wang Yanqing,1.7 ,52,electrical equipment,China
1394,John Whittaker,1.7 ,76,real estate,United Kingdom
1394,Wu Guangming,1.7 ,56,medical equipment,China
1394,Xu Qiming,1.7 ,54,"food, art",China
1394,Zhang Xiaojuan,1.7 ,48,logistics,China
1477,Melih Abdulhayoglu,1.6 ,50,internet security,Turkey
1477,Radhe Shyam Agarwal,1.6 ,73,consumer goods,India
1477,Mohamed Al Fayed,1.6 ,89,"retail, investments",Egypt
1477,Faisal Bin Qassim Al Thani,1.6 ,70,"hotels, diversified",Qatar
1477,William F. Austin,1.6 ,76,hearing aids,United States
1477,Louis Bacon,1.6 ,61,hedge funds,United States
1477,Achal Bakeri,1.6 ,58,air coolers,India
1477,Othman Benjelloun,1.6 ,85,"banking, insurance",Morocco
1477,William Berkley,1.6 ,71,insurance,United States
1477,Aneel Bhusri,1.6 ,52,business software,United States
1477,O. Francis Biondi,1.6 ,53,hedge funds,United States
1477,John Bloor,1.6 ,75,"real estate, manufacturing",United Kingdom
1477,David Booth,1.6 ,72,mutual funds,United States
1477,Cai Wensheng,1.6 ,48,photo sharing app,China
1477,Ahmet Calik,1.6 ,60,"energy, banking, construction",Turkey
1477,Michel Chalhoub,1.6 ,86,retail,France
1477,Chen Xiaoying,1.6 ,41,package delivery,China
1477,Cho Jung-Ho,1.6 ,59,finance,South Korea
1477,Turgay Ciner,1.6 ,62,diversified,Turkey
1477,Steve Conine,1.6 ,45,online retail,United States
1477,Jacques D'Amours,1.6 ,61,retail,Canada
1477,Robert Defares,1.6 ,56,electronic trading,Netherlands
1477,Alexander Dzhaparidze,1.6 ,62,oil services,Russia
1477,Stephen Feinberg,1.6 ,58,private equity,United States
1477,Paul Foster,1.6 ,60,oil refining,United States
1477,Mario Gabelli,1.6 ,76,money management,United States
1477,Marcos Galperin,1.6 ,-,e-commerce,Argentina
1477,Radhe Shyam Goenka,1.6 ,72,consumer goods,India
1477,Christopher Goldsbury,1.6 ,75,salsa,United States
1477,Stelios Haji-Ioannou,1.6 ,51,EasyJet,Cyprus
1477,Ilkka Herlin,1.6 ,59,"elevators, escalators",Finland
1477,Brian Higgins,1.6 ,53,hedge funds,United States
1477,Stephen Jarislowsky,1.6 ,92,money management,Canada
1477,Michael Jordan,1.6 ,55,"Charlotte Hornets, endorsements",United States
1477,Kenji Kasahara,1.6 ,42,social network,Japan
1477,Kim Taek-Jin,1.6 ,51,online games,South Korea
1477,Edward Lampert,1.6 ,55,Sears,United States
1477,Thomas Lau,1.6 ,64,department stores,Hong Kong
1477,Thai Lee,1.6 ,59,IT provider,United States
1477,Lei Jufang,1.6 ,65,pharmaceuticals,China
1477,Li Li,1.6 ,54,pharmaceuticals,China
1477,Li Liufa,1.6 ,61,"steel, diversified",China
1477,Liu Hanyuan,1.6 ,54,agribusiness,China
1477,Pier Luigi Loro Piana,1.6 ,66,fashion,Italy
1477,Billy Joe (Red) McCombs,1.6 ,90,"real estate, oil, cars, sports",United States
1477,Gian Marco Moratti,1.6 ,81,oil refinery,Italy
1477,Manuel Moroun,1.6 ,91,transportation,United States
1477,Robert Mouawad,1.6 ,73,fine jewelry,Lebanon
1477,Marius Nacht,1.6 ,52,software,Israel
1477,Ni Zugen,1.6 ,61,appliances,China
1477,Lirio Parisotto,1.6 ,64,investments,Brazil
1477,Karl-Johan Persson,1.6 ,43,H&M,Sweden
1477,Tom Persson,1.6 ,33,H&M,Sweden
1477,Dmitry Pumpyansky,1.6 ,54,steel pipes,Russia
1477,Ruan Shuilong,1.6 ,82,chemicals,China
1477,Jean Salata,1.6 ,52,finance,Chile
1477,Sheryl Sandberg,1.6 ,48,Facebook,United States
1477,Niraj Shah,1.6 ,44,online retail,United States
1477,Shin Dong-Guk,1.6 ,68,Pharmaceuticals,South Korea
1477,Ben Silbermann,1.6 ,35,Pinterest,United States
1477,Charlotte Soderstrom,1.6 ,41,H&M,Sweden
1477,Thomas Steyer,1.6 ,60,hedge funds,United States
1477,Su Weizhong,1.6 ,49,"oil, fertilizers",China
1477,David Teoh,1.6 ,62,telecoms,Australia
1477,Wang Jinshu,1.6 ,61,chemicals,China
1477,Wang Yaohai,1.6 ,51,lighting,China
1477,Charlotte Colket Weber,1.6 ,75,Campbell Soup,United States
1477,Wei Ing-Chou,1.6 ,65,"food, beverages",Taiwan
1477,Yin-Chun Wei,1.6 ,61,"food, beverages",Taiwan
1477,Wei Yin-Heng,1.6 ,59,"food, beverages",Taiwan
1477,Wei Ying-Chiao,1.6 ,63,"food, beverages",Taiwan
1477,Richard White,1.6 ,63,software,Australia
1477,Allan Wong,1.6 ,68,electronics,Hong Kong
1477,Wong Kwong Yu,1.6 ,49,retail,China
1477,Wu Jianshu,1.6 ,54,auto parts,Hong Kong
1477,Wu Xu,1.6 ,54,real estate,St. Kitts and Nevis
1477,Wu Xushun,1.6 ,70,"internet, auto parts",China
1477,Luis Enrique Yarur Rey,1.6 ,67,banking,Chile
1477,Albert Yeung,1.6 ,75,"real estate, retail",Hong Kong
1477,Yu Rong,1.6 ,46,health clinics,China
1477,Kostyantin Zhevago,1.6 ,44,mining,Ukraine
1477,Zhou Chengjian,1.6 ,53,fashion retail,China
1477,Zhou Yaoting,1.6 ,75,"apparel, real estate",China
1477,Zhuang Kuilong,1.6 ,56,polyester,China
1561,Jose Joao Abdalla Filho,1.5 ,-,investments,Brazil
1561,Khalifa Bin Butti Al Muhairi,1.5 ,39,"hospitals, investments",United Arab Emirates
1561,Folorunsho Alakija,1.5 ,67,oil,Nigeria
1561,Bill Alfond,1.5 ,70,shoes,United States
1561,Susan Alfond,1.5 ,72,shoes,United States
1561,Ted Alfond,1.5 ,73,shoes,United States
1561,Joy Alukkas,1.5 ,61,jewelry,India
1561,Andrey Andreev,1.5 ,44,online dating,United Kingdom
1561,Carol Jenkins Barnett,1.5 ,61,Publix supermarkets,United States
1561,Oleg Boyko,1.5 ,53,diversified,Russia
1561,Ana Maria Brescia Cafferata,1.5 ,94,"mining, banking",Peru
1561,Binod Chaudhary,1.5 ,63,diversified,Nepal
1561,Che Fengsheng,1.5 ,55,pharmaceuticals,China
1561,Chen Qingzhou,1.5 ,52,communications equipment,China
1561,Richard Desmond,1.5 ,66,publishing,United Kingdom
1561,Mohammed Dewji,1.5 ,43,diversified,Tanzania
1561,Carl Douglas,1.5 ,57,investments,Sweden
1561,Eric Douglas,1.5 ,50,investments,Sweden
1561,Bulent Eczacibasi,1.5 ,68,"pharmaceuticals, diversified",Turkey
1561,Faruk Eczacibasi,1.5 ,64,"pharmaceuticals, diversified",Turkey
1561,Martha Ford,1.5 ,92,Ford Motor,United States
1561,Yasuhiro Fukushima,1.5 ,70,video games,Japan
1561,Reinold Geiger,1.5 ,70,beauty products,Austria
1561,Saad Hariri,1.5 ,48,"construction, investments",Lebanon
1561,Richard Hayne,1.5 ,70,Urban Outfitters,United States
1561,Ilona Herlin,1.5 ,53,"elevators, escalators",Finland
1561,Asok Kumar Hiranandani,1.5 ,63,real estate,Singapore
1561,Niranjan Hiranandani,1.5 ,68,real estate,India
1561,Huang Qiaoling,1.5 ,59,amusement parks,China
1561,Huang Zhuangmian,1.5 ,48,logistics,China
1561,Hal Jackman,1.5 ,86,"insurance, investments",Canada
1561,Anurang Jain,1.5 ,56,auto parts,India
1561,Keeree Kanjanapas,1.5 ,67,transportation,Thailand
1561,Kim Nam-Jung,1.5 ,45,food,South Korea
1561,Seth Klarman,1.5 ,61,investments,United States
1561,Alexander Klyachin,1.5 ,51,real estate,Russia
1561,Yuriy Kosiuk,1.5 ,50,agriculture,Ukraine
1561,Miguel Krigsner,1.5 ,68,cosmetics,Brazil
1561,Lee Yin Yee,1.5 ,66,glass,China
1561,Nicola Leibinger-Kammueller,1.5 ,58,manufacturing,Germany
1561,Li Weiwei,1.5 ,41,online games,China
1561,William Li,1.5 ,43,automobiles,China
1561,Li Yihai,1.5 ,55,pharmaceuticals,China
1561,Li Yong,1.5 ,41,chemicals,China
1561,Lin Ming-hsiung,1.5 ,68,supermarkets,Taiwan
1561,Lou Zhongfu,1.5 ,64,real estate,China
1561,Low Tuck Kwong,1.5 ,70,coal,Indonesia
1561,P.N.C. Menon,1.5 ,69,real estate,Oman
1561,Thomas Meyer,1.5 ,58,apparel retailer,Switzerland
1561,Ezra Nahmad,1.5 ,72,art,Monaco
1561,Judith Neilson,1.5 ,72,investments,Australia
1561,Madeleine Olsson Ericksson,1.5 ,73,diversified,Sweden
1561,Ou Zonghong,1.5 ,48,real estate,China
1561,Eren Ozmen,1.5 ,59,aerospace,United States
1561,Fatih Ozmen,1.5 ,60,aerospace,United States
1561,Jose Isaac Peres,1.5 ,77,shopping malls,Brazil
1561,Mark Pincus,1.5 ,52,online games,United States
1561,Kevin Plank,1.5 ,45,Under Armour,United States
1561,"Nicholas Pritzker, II.",1.5 ,74,"hotels, investments",United States
1561,Que Wenbin,1.5 ,54,pharmaceuticals,China
1561,Jorge Rodriguez Rodriguez,1.5 ,72,processed milk,Peru
1561,Nobutada Saji,1.5 ,72,beverages,Japan
1561,Thomas Sandell,1.5 ,57,hedge funds,Sweden
1561,Eddy Kusnadi Sariaatmadja,1.5 ,64,"media, tech",Indonesia
1561,Fayez Sarofim,1.5 ,89,money management,United States
1561,Monika Schoeller,1.5 ,79,publishing,Germany
1561,Antonio Luiz Seabra,1.5 ,75,cosmetics,Brazil
1561,Yuri Shefler,1.5 ,50,alcohol,Russia
1561,Rajju Shroff,1.5 ,84,agrochemicals,India
1561,Frank Stronach,1.5 ,85,auto parts,Canada
1561,Kevin Systrom,1.5 ,34,Instagram,United States
1561,Tang Hsiang-chien,1.5 ,95,"textiles, electronics",Hong Kong
1561,Tang Jianfang,1.5 ,-,packaged foods,China
1561,Ning Tang,1.5 ,44,online lending,China
1561,Jim Thompson,1.5 ,78,logistics,United States
1561,Jonathan Tisch,1.5 ,64,"insurance, NFL team",United States
1561,Kenneth Tuchman,1.5 ,58,outsourcing,United States
1561,Wim van der Leegte,1.5 ,70,manufacturing,Netherlands
1561,Shamsheer Vayalil,1.5 ,41,healthcare,India
1561,Thongma Vijitpongpun,1.5 ,60,real estate,Thailand
1561,Arkady Volozh,1.5 ,54,search engine,Russia
1561,Stefan von Holtzbrinck,1.5 ,55,publishing,Germany
1561,Wang Jiufang,1.5 ,54,real estate,China
1561,Wong Hong King,1.5 ,56,real estate,China
1561,Ian Wood,1.5 ,75,energy services,United Kingdom
1561,Xiao Chunhong,1.5 ,50,real estate,China
1561,Jacky Xu,1.5 ,46,apparel,St. Kitts and Nevis
1561,Zhang Hongwei,1.5 ,63,"oil, banking",China
1561,Zhang Tao,1.5 ,45,e-commerce,China
1650,Anu Aga,1.4 ,75,engineering,India
1650,Farkhad Akhmedov,1.4 ,62,investments,Russia
1650,Alberto Alcocer,1.4 ,75,investments,Spain
1650,Bassam Alghanim,1.4 ,66,diversified,Kuwait
1650,Kutayba Alghanim,1.4 ,72,diversified,Kuwait
1650,Alexandra Andresen,1.4 ,21,investments,Norway
1650,Katharina Andresen,1.4 ,23,investments,Norway
1650,Vasily Anisimov,1.4 ,66,real estate,Russia
1650,Mori Arkin,1.4 ,65,pharmaceuticals,Israel
1650,Nigel Austin,1.4 ,47,retailing,Australia
1650,Krishna Kumar Bangur,1.4 ,57,graphite electrodes,India
1650,Herb Chambers,1.4 ,76,car dealerships,United States
1650,R.G. Chandramogan,1.4 ,69,dairy,India
1650,Chang Pyung-Soon,1.4 ,67,educational services,South Korea
1650,Chao Teng-hsiung,1.4 ,74,real estate,Taiwan
1650,Chen Liying,1.4 ,42,package delivery,China
1650,Chen Tianqiao,1.4 ,45,online games,China
1650,Henry Cheng,1.4 ,71,property,Hong Kong
1650,Chey Ki-Won,1.4 ,53,"computer services, telecom",South Korea
1650,Chi Yufeng,1.4 ,47,software,China
1650,Chua Thian Poh,1.4 ,69,real estate,Singapore
1650,Chung Yong-Jin,1.4 ,49,retail,South Korea
1650,Ciputra,1.4 ,86,real estate,Indonesia
1650,Alberto Cortina,1.4 ,72,investments,Spain
1650,"Robert Coyiuto, Jr.",1.4 ,65,power,Philippines
1650,Maria Del Pino y Calvo-Sotelo,1.4 ,62,construction,Spain
1650,K. Dinesh,1.4 ,64,software services,India
1650,Du Weimin,1.4 ,54,vaccines,China
1650,John Edson,1.4 ,86,leisure craft,United States
1650,David Einhorn,1.4 ,49,hedge funds,United States
1650,Bob Ell,1.4 ,73,real estate,Australia
1650,Gary Fegel,1.4 ,44,"commodities, investments",Switzerland
1650,Victor Fung,1.4 ,72,trading company,United States
1650,William Fung,1.4 ,69,sourcing,Hong Kong
1650,Alan Gerry,1.4 ,89,cable television,United States
1650,Balkrishan Goenka,1.4 ,51,textiles,India
1650,Polys Haji-Ioannou,1.4 ,58,EasyJet,Cyprus
1650,Mehmet Hattat,1.4 ,72,diversified,Turkey
1650,J. Tomilson Hill,1.4 ,70,investments,United States
1650,Eduardo Hochschild,1.4 ,54,mining,Peru
1650,Hoi Kin Hong,1.4 ,65,real estate,Macau
1650,Hur Young-In,1.4 ,69,"bakeries, fast food",South Korea
1650,George Joseph,1.4 ,96,insurance,United States
1650,Ronald Joyce,1.4 ,87,coffee chain,Canada
1650,T.S. Kalyanaraman,1.4 ,71,jewelry,India
1650,Nimesh Kampani,1.4 ,71,investment banking,India
1650,Eugene Kaspersky,1.4 ,52,software,Russia
1650,Viktor Kharitonin,1.4 ,45,pharmaceuticals,Russia
1650,Pyotr Kondrashev,1.4 ,68,investments,Russia
1650,Yuri Kovalchuk,1.4 ,66,"banking, insurance, media",Russia
1650,Kagemasa Kozuki,1.4 ,77,video games,Japan
1650,Michael Krasny,1.4 ,64,retail,United States
1650,James Leininger,1.4 ,73,medical products,United States
1650,Li Guoqiang,1.4 ,54,auto dealerships,China
1650,Li Liangbin,1.4 ,50,lithium,China
1650,Liu Ko-chen,1.4 ,64,Manufacturing,Taiwan
1650,Anatoly Lomakin,1.4 ,65,investments,Russia
1650,Ma Hong,1.4 ,50,fashion retail,China
1650,Gary Magness,1.4 ,64,"cable TV, investments",United States
1650,Youssef Mansour,1.4 ,73,diversified,Egypt
1650,Strive Masiyiwa,1.4 ,57,telecom,Zimbabwe
1650,Dariusz Milek,1.4 ,50,"real estate, retail",Poland
1650,Nan Cunhui,1.4 ,54,power equipment,China
1650,Dinesh Nandwana,1.4 ,55,software services,India
1650,Oei Hong Leong,1.4 ,70,investments,Singapore
1650,Rubens Ometto Silveira Mello,1.4 ,68,"sugar, ethanol",Brazil
1650,Ou Xueming,1.4 ,69,real estate,China
1650,Markus Persson,1.4 ,39,computer games,Sweden
1650,Victor Pinchuk,1.4 ,57,"steel pipes, diversified",Ukraine
1650,Alberto Prada,1.4 ,-,luxury goods,Italy
1650,Marina Prada,1.4 ,-,luxury goods,Italy
1650,Forrest Preston,1.4 ,85,health care,United States
1650,Jerry Reinsdorf,1.4 ,82,sports teams,United States
1650,Fernando Roig,1.4 ,70,supermarkets,Spain
1650,Subhash Runwal,1.4 ,75,real estate,India
1650,Yoshiyuki Sankai,1.4 ,59,robotics,Japan
1650,Kirill Shamalov,1.4 ,36,petrochemicals,Russia
1650,Shin Dong-Bin,1.4 ,63,retail,South Korea
1650,Evgeny (Eugene) Shvidler,1.4 ,54,"oil & gas, investments",United States
1650,Jasminder Singh,1.4 ,67,hotels,United Kingdom
1650,Martua Sitorus,1.4 ,58,palm oil,Indonesia
1650,Peter Sperling,1.4 ,58,education,United States
1650,Jerzy Starak,1.4 ,70,pharmaceuticals,Poland
1650,Manny Stul,1.4 ,69,toys,Australia
1650,Su Rubo,1.4 ,63,real estate,China
1650,Fuat Tosyali,1.4 ,55,steel,Turkey
1650,Kenny Troutt,1.4 ,70,telecom,United States
1650,Rufino Vigil Gonzalez,1.4 ,70,steel,Mexico
1650,Wang Jianfeng,1.4 ,48,auto parts,China
1650,Wang Jing,1.4 ,45,telecom services,China
1650,Wang Qunbin,1.4 ,48,conglomerate,China
1650,Dan Wilks,1.4 ,62,natural gas,United States
1650,Farris Wilks,1.4 ,66,natural gas,United States
1650,Thomas Wu,1.4 ,68,finance,Taiwan
1650,Yi Zheng,1.4 ,47,software,China
1650,Yuan Fugen,1.4 ,67,metal processing,China
1650,"Richard Yuengling, Jr.",1.4 ,75,beer,United States
1650,Gavril Yushvaev,1.4 ,60,"precious metals, real estate",Russia
1650,Zeng Kaitian,1.4 ,43,online games,China
1650,Zhang Wanzhen,1.4 ,68,electronic components,China
1650,Zhang Yubai,1.4 ,53,wine,China
1650,Changpeng Zhao,1.4 ,-,cryptocurrency,China
1650,Zhou Yifeng,1.4 ,49,chemicals,China
1650,Zhou Yongli,1.4 ,63,conglomerate,China
1650,Zhu Wenchen,1.4 ,52,pharmaceuticals,China
1650,Ahmet Nazif Zorlu,1.4 ,73,diversified,Turkey
1756,Len Ainsworth,1.3 ,94,betting machines,Australia
1756,Edmund Ansin,1.3 ,82,television,United States
1756,Markus Blocher,1.3 ,47,chemicals,Switzerland
1756,Leonid Boguslavsky,1.3 ,67,venture capital,Russia
1756,Jorge Horacio Brito,1.3 ,65,banking,Argentina
1756,Saket Burman,1.3 ,41,consumer goods,United Kingdom
1756,Steve Case,1.3 ,59,AOL,United States
1756,Jeffrey Cheah,1.3 ,73,property,Malaysia
1756,Bruce Cheng,1.3 ,82,electronics,Taiwan
1756,Cheng Xianfeng,1.3 ,49,pharmaceuticals,China
1756,Ivan Chrenko,1.3 ,50,real estate,Slovakia
1756,Eduardo Cojuangco,1.3 ,83,"food, drinks",Philippines
1756,Brunello Cucinelli,1.3 ,64,fashion,Italy
1756,Darwin Deason,1.3 ,78,Xerox,United States
1756,Andrea Della Valle,1.3 ,52,shoes,Italy
1756,Jamie Dimon,1.3 ,62,banking,United States
1756,Charles Dunstone,1.3 ,54,mobile phones,United Kingdom
1756,Bruce Flatt,1.3 ,53,money management,Canada
1756,Fu Meicheng,1.3 ,60,"TV shows, movies",China
1756,Soichiro Fukutake,1.3 ,72,education,Japan
1756,Don Gao,1.3 ,53,power tools,China
1756,Gao Yunfeng,1.3 ,51,industrial lasers,China
1756,Anne Gittinger,1.3 ,82,Nordstrom department stores,United States
1756,Clelia Haji-Ioannou,1.3 ,47,EasyJet,Cyprus
1756,John Hancock,1.3 ,42,trust fund,Australia
1756,Ronnen Harary,1.3 ,46,toys,Canada
1756,Ayman Hariri,1.3 ,40,"construction, investments",Lebanon
1756,Fahd Hariri,1.3 ,37,"construction, investments",Lebanon
1756,Surendra Hiranandani,1.3 ,63,real estate,Cyprus
1756,Alan Howard,1.3 ,54,hedge funds,United Kingdom
1756,Hu Keqin,1.3 ,60,chemicals,China
1756,Archie Hwang,1.3 ,-,semiconductors,Taiwan
1756,Irwin Jacobs,1.3 ,84,semiconductors,United States
1756,Mitchell Jacobson,1.3 ,67,industrial equipment,United States
1756,Rana Kapoor,1.3 ,60,banking,India
1756,Alexander Karp,1.3 ,50,software firm,United States
1756,Raghuvinder Kataria,1.3 ,69,diversified,United Kingdom
1756,Habil Khorakiwala,1.3 ,75,pharmaceuticals,India
1756,Sidney Kimmel,1.3 ,90,retail,United States
1756,Andre Koo,1.3 ,51,financial services,Taiwan
1756,Koo Bon-Neung,1.3 ,69,electronics,South Korea
1756,Andrei Kosogov,1.3 ,57,"oil, banking, telecom",Russia
1756,Lee Ho-Jin,1.3 ,55,diversified,South Korea
1756,Solomon Lew,1.3 ,73,retail,Australia
1756,Rodney Lewis,1.3 ,63,natural gas,United States
1756,Li Jiaquan,1.3 ,54,chemicals,China
1756,Lin Fanlian,1.3 ,57,gas,China
1756,Lin Jianhua,1.3 ,55,solar panel components,China
1756,Lin Tianfu,1.3 ,55,"footwear, apparel",Hong Kong
1756,Louise Lindh,1.3 ,38,investments,Sweden
1756,Liu Baolin,1.3 ,65,pharmacies,China
1756,Jose Llado Fernandez-Urrutia,1.3 ,84,construction,Spain
1756,Lu Di,1.3 ,-,drones,China
1756,"Cargill MacMillan, III.",1.3 ,58,Cargill,United States
1756,John MacMillan,1.3 ,68,Cargill,United States
1756,Martha MacMillan,1.3 ,66,Cargill,United States
1756,William MacMillan,1.3 ,64,Cargill,United States
1756,Katarina Martinson,1.3 ,37,investments,Sweden
1756,Craig Newmark,1.3 ,65,Craigslist,United States
1756,Bruce Nordstrom,1.3 ,84,Nordstrom department stores,United States
1756,Pierre Karl Péladeau,1.3 ,56,media,Canada
1756,David Penaloza Alanis,1.3 ,44,toll roads,Mexico
1756,Andreas Pohl,1.3 ,53,mutual funds,Germany
1756,"Reinfried Pohl, Jr.",1.3 ,58,mutual funds,Germany
1756,Mahendra Prasad,1.3 ,78,pharmaceuticals,India
1756,Anton Rabie,1.3 ,46,toys,Canada
1756,Bianca Rinehart,1.3 ,41,trust fund,Australia
1756,Ginia Rinehart,1.3 ,31,trust fund,Australia
1756,Alexander Rovt,1.3 ,65,"fertilizer, real estate",United States
1756,Lily Safra,1.3 ,80,banking,Monaco
1756,Deniz Sahenk,1.3 ,72,diversified,Turkey
1756,Karin Schick,1.3 ,-,information technology,Germany
1756,Leonard Schleifer,1.3 ,65,pharmaceuticals,United States
1756,Dieter Schnabel,1.3 ,72,chemicals,Germany
1756,Bhadresh Shah,1.3 ,66,engineering,India
1756,Shao Qinxiang,1.3 ,63,diversified,China
1756,Eric Ya Shen,1.3 ,47,online apparel retail,China
1756,Nobutoshi Shimamura,1.3 ,92,retail,Japan
1756,Shum Chiu Hung,1.3 ,48,real estate,China
1756,Helmut Sohmen,1.3 ,78,shipping,Austria
1756,Sun Qinghuan,1.3 ,45,lighting,China
1756,Sun Yinhuan,1.3 ,68,real estate,China
1756,Djoko Susanto,1.3 ,68,supermarkets,Indonesia
1756,Erol Tabanca,1.3 ,61,Construction,Turkey
1756,Alexander Tedja,1.3 ,72,real estate,Indonesia
1756,Wilma Tisch,1.3 ,90,diversified,United States
1756,Ayhan Tosyali,1.3 ,54,steel,Turkey
1756,Fatih Tosyali,1.3 ,52,steel,Turkey
1756,Tran Dinh Long,1.3 ,57,"steel, heavy industry",Vietnam
1756,Tsai Ming-Kai,1.3 ,68,semiconductors,Taiwan
1756,Pavel Tykac,1.3 ,54,coal mines,Czech Republic
1756,Jayshree Ullal,1.3 ,57,technology,United States
1756,Wan Long,1.3 ,77,food,China
1756,Wang Muqing,1.3 ,67,auto distribution,China
1756,Wang Yong,1.3 ,68,food sweeteners,China
1756,Hope Welker,1.3 ,32,trust fund,Australia
1756,Wen Yibo,1.3 ,52,wastewater treatment,China
1756,Stephen T. Winn,1.3 ,71,real estate services,United States
1756,Gordon Wu,1.3 ,83,real estate,Hong Kong
1756,Wu Lanlan,1.3 ,44,packaging,China
1756,Xu Ziquan,1.3 ,59,software,China
1756,Yang Meirong,1.3 ,-,education,China
1756,Yang Tingdong,1.3 ,58,brewery,China
1756,You Xiaoping,1.3 ,60,"chemicals, spandex",China
1756,Yu Peidi,1.3 ,58,real estate,Hong Kong
1756,Yu Qibing,1.3 ,52,glass,China
1756,Yu Yunxin,1.3 ,56,costume jewelry,China
1756,Zan Shengda,1.3 ,55,diversified,China
1756,Zhang Guiping,1.3 ,66,real estate,China
1756,Zhao Weiguo,1.3 ,51,IT products,China
1756,Zheng Jianjiang,1.3 ,57,electrical equipment,China
1867,Hamad bin Jassim bin Jaber Al Thani,1.2 ,58,investments,Qatar
1867,Fawzi Al-Kharafi,1.2 ,-,diversified,Kuwait
1867,Mohannad Al-Kharafi,1.2 ,-,diversified,Kuwait
1867,Isak Andic,1.2 ,64,fashion retail,Spain
1867,Marc Andreessen,1.2 ,46,venture capital investing,United States
1867,Jose Maria Aristrain,1.2 ,55,Steel,Spain
1867,Thomas Bailey,1.2 ,81,money management,United States
1867,Harindarpal Banga,1.2 ,67,commodities,India
1867,Elena Baturina,1.2 ,55,"investments, real estate",Russia
1867,Eduardo Belmont Anderson,1.2 ,72,cosmetics,Peru
1867,Tomasz Biernacki,1.2 ,45,supermarkets,Poland
1867,Zadik Bino,1.2 ,74,"banking, oil",Israel
1867,Brett Blundy,1.2 ,58,"retail, agribusiness",Australia
1867,Henadiy Boholyubov,1.2 ,56,"banking, investments",Ukraine
1867,Charles Brandes,1.2 ,75,money management,United States
1867,Amit Burman,1.2 ,48,consumer goods,India
1867,Cai Dongqing,1.2 ,49,animation,China
1867,Chen Bo,1.2 ,47,wind power generation,China
1867,Cheng Wei,1.2 ,35,ride-hailing service,China
1867,Phongthep Chiaravanont,1.2 ,66,diversified,Thailand
1867,Kochouseph Chittilappilly,1.2 ,67,manufacturing,India
1867,Chu Jinfu,1.2 ,61,electrical equipment,China
1867,Eduardo Costantini,1.2 ,71,real estate,Argentina
1867,Sol Daurella,1.2 ,52,Coca-Cola,Spain
1867,Philip Day,1.2 ,52,clothing retail,United Kingdom
1867,D. Leopoldo Del Pino y Calvo-Sotelo,1.2 ,55,construction,Spain
1867,Norbert Dentressangle,1.2 ,63,"transport, logistics",France
1867,Beda Diethelm,1.2 ,77,hearing aids,Switzerland
1867,Mark Dixon,1.2 ,59,office real estate,United Kingdom
1867,Henry Engelhardt,1.2 ,60,insurance,United States
1867,Fang Hongbo,1.2 ,51,home appliances,China
1867,Gleb Fetisov,1.2 ,52,investments,Russia
1867,Donald Foss,1.2 ,74,auto loans,United States
1867,Robert Friedland,1.2 ,67,mining,United States
1867,Donald Friese,1.2 ,77,manufacturing,United States
1867,Fu Guangming,1.2 ,64,poultry,China
1867,Dan Gertler,1.2 ,44,mining,Israel
1867,Dennis Gillings,1.2 ,74,drug testing,United Kingdom
1867,Ryan Graves,1.2 ,34,uber,United States
1867,Gu Wei,1.2 ,53,consumer electronics,China
1867,Alfredo Harp Helu,1.2 ,74,banking,Mexico
1867,Gudrun Heine,1.2 ,63,medical devices,Germany
1867,Francis Holder,1.2 ,77,bakeries,France
1867,Hong Seok-Joh,1.2 ,65,convenience stores,South Korea
1867,Douglas Hsu,1.2 ,75,diversified,Taiwan
1867,Huang Jianrong,1.2 ,60,minerals,China
1867,"B. Wayne Hughes, Jr.",1.2 ,57,storage facilities,United States
1867,Daisy Igel,1.2 ,90,"gas, petrochemicals",Brazil
1867,Thomas James,1.2 ,76,finance,United States
1867,Jiang Ganjun,1.2 ,54,home & office products,China
1867,Jiang Zhaobai,1.2 ,54,real estate,China
